SK_ID_CURR,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_BIRTH,DAYS_ID_PUBLISH,DAYS_EMPLOYED,AMT_CREDIT,CNT_CHILDREN,CNT_FAM_MEMBERS,OCCUPATION_TYPE,NAME_EDUCATION_TYPE,CODE_GENDER,AMT_REQ_CREDIT_BUREAU_MON,AMT_REQ_CREDIT_BUREAU_YEAR,AMT_ANNUITY,AMT_INCOME_TOTAL,ORGANIZATION_TYPE,TARGET
180545,0.5597015692446371,0.5857684303223171,0.7209441499436497,-14650,-4954,-7447,248760.0,0,2.0,Medicine staff,Secondary / secondary special,F,0.0,1.0,24601.5,90000.0,Medicine,1
34036,,0.700521364949078,,-18578,-2108,-2601,835380.0,0,2.0,Drivers,Secondary / secondary special,M,,,42651.0,180000.0,Self-employed,0
226732,,0.5214844798518824,0.6092756673894402,-10969,-3663,-3233,422235.0,0,1.0,Drivers,Incomplete higher,M,0.0,4.0,25645.5,225000.0,Business Entity Type 3,1
166668,0.3734188731058757,0.1593713799385472,0.7407990879702335,-16464,-15,-3759,679266.0,1,3.0,Laborers,Secondary / secondary special,M,1.0,3.0,26451.0,180000.0,Business Entity Type 3,0
83330,,0.4138903749813488,,-18676,-380,-3231,412614.0,0,2.0,Sales staff,Secondary / secondary special,F,,,26500.5,112500.0,Self-employed,1
246566,,0.6241918925036816,,-21190,-4421,365243,518562.0,0,2.0,,Secondary / secondary special,F,0.0,0.0,20421.0,112500.0,XNA,0
59158,0.8696294553730396,0.4455173081473618,,-15206,-4498,-2380,1546020.0,0,2.0,Core staff,Secondary / secondary special,F,,,45333.0,189000.0,Government,1
14960,0.4238227841913698,0.4781154907851071,0.4083588531230431,-16144,-4469,-2722,360000.0,0,1.0,,Higher education,M,0.0,0.0,18000.0,189000.0,Business Entity Type 3,1
73506,0.613595300703105,0.1503636275137869,,-17684,-1202,-3542,450000.0,1,3.0,Drivers,Higher education,M,,,30204.0,247500.0,Self-employed,1
237662,,0.6515049421608577,,-14636,-4667,-852,521280.0,1,2.0,Drivers,Secondary / secondary special,M,,,35392.5,225000.0,Business Entity Type 3,0
1472,0.1585063882340048,0.3760784209524843,0.6430255641096323,-13745,-4213,-65,170640.0,1,3.0,Drivers,Secondary / secondary special,M,0.0,4.0,11034.0,225000.0,Business Entity Type 3,1
263380,0.1399959190652641,0.0880868466187725,0.7281412993111438,-10761,-465,-2643,835380.0,0,2.0,Core staff,Secondary / secondary special,F,0.0,0.0,40189.5,247500.0,Trade: type 3,1
